id;airline;plane_model;total_seats;origin;destination;schedule_departure_date;schedule_arrival_date;real_departure_date;real_arrival_date;pilot;copilot;notes
0000000276;Iberia;Airbus A321;220;MAD;LIS;2023/08/08 11:34:59;2023/08/08 12:49:59;2023/08/08 11:39:59;2023/08/08 14:39:59;Robert Johnson;John Moore;
0000000277;Air France;Airbus A321;220;cdG;FCO;2022/01/20 06:54:21;2022/01/20 08:39:21;2022/01/20 07:14:21;2022/01/20 11:04:21;John Williams;Robert Smith;
0000000278;Lufthansa;Boeing 777;300;FRA;MAD;2023/05/10 15:21:23;2023/05/10 17:51:23;2023/05/10 15:51:23;2023/05/10 20:51:23;Emily Davis;Laura Brown;
0000000279;Ryanair;Boeing 737;189;DUB;BCN;2021/01/03 08:55:23;2021/01/03 11:40:23;2021/01/03 08:55:23;2021/01/03 15:10:23;Laura Wilson;Sarah Davis;
0000000280;EasyJet;Airbus A320;180;LHR;CDG;2021/04/15 08:54:22;2021/04/15 10:09:22;2021/04/15 08:54:22;2021/04/15 11:54:22;Sarah Jones;Jane Smith;
0000000281;Lufthansa;Boeing 777;300;FRA;MAD;2023/01/14 17:04:19;2023/01/14 19:34:19;2023/01/14 17:19:19;2023/01/14 22:39:19;Emily Davis;Laura Brown;
0000000282;Lufthansa;Boeing 777;300;FRA;MAD;2023/07/17 09:13:52;2023/07/17 11:43:52;2023/07/17 09:13:52;2023/07/17 14:13:52;Emily Davis;Laura Brown;
0000000283;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/02/10 14:52:09;2022/02/10 16:02:09;2022/02/10 15:22:09;2022/02/10 17:42:09;Sarah Davis;Michael Brown;
0000000284;British Airways;Boeing 737;150;LHR;AMS;2021/03/22 01:23:38;2021/03/22 02:33:38;2021/03/22 01:53:38;2021/03/22 04:13:38;Sarah Smith;Emily Johnson;
0000000285;EasyJet;Airbus A320;180;LHR;CDG;2022/04/11 09:36:03;2022/04/11 10:51:03;2022/04/11 09:51:03;2022/04/11 12:21:03;Sarah Jones;Jane Smith;
0000000286;Ryanair;Boeing 737;189;DUB;TXL;2023/04/12 13:08:51;2023/04/12 15:08:51;2023/04/12 13:53:51;2023/04/12 17:53:51;Jane Davis;Emily Davis;
0000000287;Austrian Airlines;Airbus A321;220;VIE;MUC;2023/07/16 11:17:25;2023/07/16 12:07:25;2023/07/16 12:02:25;2023/07/16 14:02:25;William Miller;John Wilson;
0000000288;Air France;Airbus A321;220;CDG;FCO;2023/05/04 17:50:15;2023/05/04 19:35:15;2023/05/04 17:55:15;2023/05/04 21:25:15;John Williams;Robert Smith;
0000000289;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2022/09/18 04:03:10;2022/09/18 06:28:10;2022/09/18 04:03:10;2022/09/18 08:53:10;Emily Davis;John Smith;
0000000290;Ryanair;Boeing 737;189;DUB;TXL;2021/07/13 06:55:24;2021/07/13 08:55:24;2021/07/13 06:55:24;2021/07/13 11:00:24;Jane Davis;Emily Davis;
0000000291;Ryanair;Boeing 737;189;DUB;TXL;2021/03/12 03:14:06;2021/03/12 05:14:06;2021/03/12 03:19:06;2021/03/12 08:04:06;Jane Davis;Emily Davis;
0000000292;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2023/02/12 04:35:04;2023/02/12 06:05:04;2023/02/12 04:40:04;2023/02/12 07:40:04;Olivia Brown;Sarah Moore;
0000000293;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/08/18 12:54:30;2021/08/18 13:44:30;2021/08/18 12:54:30;2021/08/18 14:34:30;William Miller;John Wilson;
0000000294;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2023/03/21 15:20:17;2023/03/21 16:35:17;2023/03/21 15:20:17;2023/03/21 17:50:17;David Johnson;Michael Johnson;
0000000295;EasyJet;Airbus A320;180;LHR;CDG;2021/09/08 12:02:38;2021/09/08 13:17:38;2021/09/08 12:02:38;2021/09/08 14:32:38;Sarah Jones;Jane Smith;
0000000296;Transavia;Airbus A320;180;AMs;NCE;2021/06/22 13:25:45;2021/06/22 11:05:45;2021/06/22 11:10:45;2021/06/22 15:50:45;Jane Jones;Jane Jones;
0000000297;EasyJet;Airbus A320;180;LHR;CDG;2021/03/06 04:28:13;2021/03/06 05:43:13;2021/03/06 04:28:13;2021/03/06 07:43:13;Sarah Jones;Jane Smith;
;Transavia;Airbus A320;180;AMS;NCE;2021/05/18 17:20:01;2021/05/18 19:40:01;2021/05/18 17:20:01;2021/05/18 22:45:01;Jane Jones;Jane Jones;
0000000299;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2023/06/18 11:37:18;2023/06/18 12:22:18;2023/06/18 12:07:18;2023/06/18 14:22:18;William Brown;Emily Wilson;
0000000300;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2022/11/17 11:49:37;2022/11/17 13:04:37;2022/11/17 11:49:37;2022/11/17 14:39:37;David Johnson;Michael Johnson;We're starting our descent into our destination.
0000000301;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/06/05 03:37:20;2022/06/05 05:27:20;2022/06/05 03:57:20;2022/06/05 07:37:20;Jane Moore;Emily Taylor;
0000000302;British Airways;Boeing 737;150;LHR;AMS;2021/05/18 06:45:04;2021/05/18 07:55:04;2021/05/18 06:45:04;2021/05/18 09:05:04;Sarah Smith;Emily Johnson;
0000000303;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/08/14 06:59:31;2021/08/14 07:49:31;2021/08/14 07:19:31;2021/08/14 09:44:31;William Miller;John Wilson;
0000000304;TAP Air Portugal;Airbus A320;200;LIS;MAD;2022/11/12 02:18:28;2022/11/12 03:28:28;2022/11/12 02:38:28;2022/11/12 04:58:28;Jane Williams;Emily Miller;
0000000305;;Airbus A320;180;DUB;LIS;2021/05/17 15:24:29;2021/05/17 18:24:29;2021/05/17 15:44:29;2021/05/17 22:29:29;Jane Jones;David Davis;
0000000306;TAP Air Portugal;Airbus A320;200;LIS;MAD;2021/02/04 06:05:08;2021/02/04 07:15:08;2021/02/04 06:05:08;2021/02/04 08:40:08;Jane Williams;Emily Miller;
0000000307;Lufthansa;Boeing 777;300;FRA;MAD;2023/08/16 10:26:06;2023/08/16 12:56:06;2023/08/16 10:56:06;2023/08/16 15:56:06;Emily Davis;Laura Brown;
0000000308;Transavia;Airbus A320;180;AMS;NCE;2021/03/09 04:30:09;2021/03/09 06:50:09;2021/03/09 05:00:09;2021/03/09 09:45:09;Jane Jones;Jane Jones;Our airline is proud of its safety record.
0000000309;Transavia;Airbus A320;180;AMS;NCE;2021/09/10 17:49:08;2021/09/10 20:09:08;2021/09/10 17:49:08;2021/09/10 22:49:08;Jane Jones;Jane Jones;
0000000310;Turkish Airlines;Airbus A320;200;IST;PRG;2021/10/09 03:03:19;2021/10/09 05:33:19;2021/10/09 03:33:19;2021/10/09 09:18:19;Sarah Taylor;David Smith;
0000000311;Air France;Airbus A321;220;CDG;FCO;2023/03/14 04:30:29;2023/03/14 06:15:29;2023/03/14 05:00:29;2023/03/14 08:30:29;John Williams;Robert Smith;
0000000312;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2022/12/07 17:09:32;2022/12/07 19:34:32;2022/12/07 17:39:32;2022/12/07 22:34:32;Emily Davis;John Smith;
0000000313;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/09/18 08:22:54;2021/09/18 09:52:54;2021/09/18 09:07:54;2021/09/18 12:22:54;Olivia Brown;Sarah Moore;
0000000314;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2023/02/12 16:28:51;2023/02/12 17:43:51;2023/02/12 16:58:51;2023/02/12 19:58:51;David Johnson;Michael Johnson;
0000000315;Lufthansa;Boeing 777;300;FRA;MAD;2021/10/22 09:55:41;2021/10/22 12:25:41;2021/10/22 09:55:41;2021/10/22 15:40:41;Emily Davis;Laura Brown;
0000000316;Jet2.com;Airbus A321;220;MAN;PRG;2021/12/21 10:42:55;2021/12/21 13:12:55;2021/12/21 10:42:55;2021/12/21 15:57:55;Robert Williams;Michael Miller;Ground crew efficiently handled the aircraft turnaround.
0000000317;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/08/10 10:40:58;2021/08/10 11:40:58;2021/08/10 11:25:58;2021/08/10 13:25:58;Laura Moore;John Taylor;
0000000318;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2022/03/01 05:11:59;2022/03/01 06:11:59;2022/03/01 05:11:59;2022/03/01 07:11:59;Laura Moore;John Taylor;
0000000319;Iberia;Airbus A321;220;MAD;LIS;2022/10/13 02:31:34;2022/10/13 03:46:34;2022/10/13 03:16:34;2022/10/13 05:46:34;Robert Johnson;John Moore;The airport is busy, but we'll find a gate shortly.
0000000320;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/02/03 04:23:45;2021/02/03 05:33:45;2021/02/03 04:38:45;2021/02/03 07:03:45;Sarah Davis;Michael Brown;
0000000321;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2023/02/08 06:48:13;2023/02/08 07:33:13;2023/02/08 06:53:13;2023/02/08 08:28:13;William Brown;Emily Wilson;
0000000322;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2023/06/08 16:02:57;2023/06/08 17:02:57;2023/06/08 16:02:57;2023/06/08 18:02:57;Laura Moore;John Taylor;We maintain high standards for cleanliness on board.
0000000323;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/02/16 16:20:53;2022/02/16 17:05:53;2022/02/16 16:20:53;2022/02/16 17:55:53;William Brown;Emily Wilson;
0000000324;Iberia;Airbus A321;220;MAD;LIs;2022/09/22 10:48:18;2022/09/22 12:03:18;2022/09/22 10:48:18;2022/09/22 13:18:18;Robert Johnson;John Moore;The ground crew is handling baggage efficiently.
0000000325;Lufthansa;Boeing 777;300;FRA;MAD;2021/09/20 17:25:56;2021/09/20 19:55:56;2021/09/20 17:55:56;2021/09/20 23:10:56;Emily Davis;Laura Brown;
0000000326;British Airways;Boeing 737;150;LHR;AMS;2022/02/03 14:22:22;2022/02/03 15:32:22;2022/02/03 14:22:22;2022/02/03 16:42:22;Sarah Smith;Emily Johnson;
0000000327;;Airbus A321;220;MAD;LIS;2023/01/21 13:40:28;2023/01/21 14:55:28;2023/01/21 13:40:28;2023/01/21 16:10:28;Robert Johnson;John Moore;
0000000328;Iberia;Airbus A321;220;MAD;LIS;2022/10/01 12:27:12;2022/10/01 13:42:12;2022/10/01 12:27:12;2022/10/01 15:42:12;Robert Johnson;John Moore;
0000000329;TAP Air Portugal;Airbus A320;200;LIS;MAD;2022/01/04 04:28:53;2022/01/04 05:38:53;2022/01/04 04:58:53;2022/01/04 07:23:53;Jane Williams;Emily Miller;
0000000330;Jet2.com;Airbus A321;220;MAN;PRG;2023/02/22 16:16:24;2023/02/22 18:46:24;2023/02/22 16:31:24;2023/02/22 21:51:24;Robert Williams;Michael Miller;
0000000331;Aeroflot;Airbus A320;250;SVO;TXL;2022/10/08 16:50:20;2022/10/08 20:05:20;2022/10/08 16:50:20;2022/10/08 23:40:20;William Davis;Emily Davis;The cockpit crew is constantly monitoring systems.
0000000332;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/03/06 00:08:34;2022/03/06 00:58:34;2022/03/06 00:08:34;2022/03/06 02:18:34;William Miller;John Wilson;
0000000333;Aer Lingus;Airbus A320;180;Berlin;LIS;2023/01/10 12:35:45;2023/01/10 15:35:45;2023/01/10 12:35:45;2023/01/10 18:55:45;Jane Jones;David Davis;
0000000334;Aer Lingus;Airbus A320;180;DUB;LIS;2022/12/07 03:16:58;2022/12/07 06:16:58;2022/12/07 03:16:58;2022/12/07 10:01:58;Jane Jones;David Davis;
0000000335;Alitalia;Boeing 767;280;FCO;ATH;2021/07/18 15:46:49;2021/07/18 17:46:49;2021/07/18 15:46:49;2021/07/18 20:06:49;Laura Wilson;Emily Moore;
0000000336;EasyJet;Airbus A320;180;LHR;CDG;2021/05/02 16:17:45;2021/05/02 17:32:45;2021/05/02 16:22:45;2021/05/02 18:52:45;Sarah Jones;Jane Smith;Passengers seem comfortable and relaxed.
0000000337;Turkish Airlines;Airbus A320;200;IST;PRG;2022/04/22 10:48:58;2022/04/22 13:18:58;2022/04/22 11:18:58;2022/04/22 16:48:58;Sarah Taylor;David Smith;
0000000338;Vueling Airlines;Airbus A319;160;BCN;FCO;2021/05/22 15:30:52;2021/05/22 17:20:52;2021/05/22 15:30:52;2021/05/22 19:55:52;Jane Moore;Emily Taylor;
0000000339;Lufthansa;Boeing 777;300;Fra;MAD;2021/03/03 13:32:02;2021/03/03 16:02:02;2021/03/03 13:32:02;2021/03/03 19:02:02;Emily Davis;Laura Brown;Smooth takeoff, great weather today!
0000000340;Iberia;Airbus A321;220;MAD;LIS;2022/02/19 04:23:54;2022/02/19 05:38:54;2022/02/19 04:23:54;2022/02/19 07:38:54;Robert Johnson;John Moore;We prioritize passenger comfort and safety.
0000000341;British Airways;Boeing 737;150;LHR;AMS;2021/02/02 09:13:09;2021/02/02 10:23:09;2021/02/02 09:13:09;2021/02/02 11:48:09;Sarah Smith;Emily Johnson;
0000000342;EasyJet;Airbus A320;180;LHR;CDG;2021/01/17 07:32:19;2021/01/17 08:47:19;2021/01/17 07:32:19;2021/01/17 10:02:19;Sarah Jones;Jane Smith;Cargo loading and unloading is proceeding smoothly.
0000000343;Transavia;Airbus A320;180;AMS;NCE;2022/09/04 00:55:21;2022/09/04 03:15:21;2022/09/04 01:15:21;2022/09/04 06:25:21;Jane Jones;Jane Jones;
0000000344;Ryanair;Boeing 737;189;DUB;TXL;2023/03/18 08:14:52;2023/03/18 10:14:52;2023/03/18 08:34:52;2023/03/18 13:19:52;Jane Davis;Emily Davis;Pilots are in constant communication with air traffic control.
0000000345;Air France;Airbus A321;220;CDG;FCO;2021/06/11 03:20:56;2021/06/11 05:05:56;2021/06/11 03:40:56;2021/06/11 07:10:56;John Williams;Robert Smith;
0000000346;Lufthansa;Boeing 777;IWM;FRA;MAD;2022/10/15 02:05:26;2022/10/15 04:35:26;2022/10/15 02:25:26;2022/10/15 07:25:26;Emily Davis;Laura Brown;Cargo loading and unloading is proceeding smoothly.
0000000347;EasyJet;Airbus A320;180;LHR;CDG;2021/03/15 08:25:56;2021/03/15 09:40:56;2021/03/15 08:45:56;2021/03/15 11:30:56;Sarah Jones;Jane Smith;Cabin pressure and temperature are within normal ranges.
0000000348;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2023/01/07 09:14:44;2023/01/07 11:39:44;2023/01/07 09:44:44;2023/01/07 14:49:44;Emily Davis;John Smith;
0000000349;Vueling Airlines;Airbus A319;160;BCN;FCO;2023/07/22 16:04:19;2023/07/22 17:54:19;2023/07/22 16:34:19;2023/07/22 20:14:19;Jane Moore;Emily Taylor;Smooth takeoff, great weather today!
0000000350;Aer Lingus;Airbus A320;180;DUB;LIS;2021/09/20 07:27:45;2021/09/20 10:27:45;2021/09/20 07:27:45;2021/09/20 13:47:45;Jane Jones;David Davis;
0000000351;British Airways;Boeing 737;150;LHR;Vienna;2023/05/19 04:13:17;2023/05/19 05:23:17;2023/05/19 04:13:17;2023/05/19 06:33:17;Sarah Smith;Emily Johnson;
0000000352;Aeroflot;Airbus A320;250;SVO;TXL;2022/09/05 00:09:40;2022/09/05 03:24:40;2022/09/05 00:24:40;2022/09/05 06:59:40;William Davis;Emily Davis;
0000000353;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2021/07/15 14:26:21;2021/07/15 16:51:21;2021/07/15 14:26:21;2021/07/15 20:01:21;Emily Davis;John Smith;Cabin crew did an excellent job with passenger service.
0000000354;Transavia;Airbus A320;180;AMS;NCE;2021/12/12 09:41:22;2021/12/12 12:01:22;2021/12/12 09:41:22;2021/12/12 14:21:22;Jane Jones;Jane Jones;Passengers are complying with safety regulations.
0000000355;TAP Air Portugal;Airbus A320;200;LIS;MAD;2023/06/19 10:05:15;2023/06/19 11:15:15;2023/06/19 10:05:15;2023/06/19 13:10:15;Jane Williams;Emily Miller;We'll be landing ahead of schedule today.
0000000356;Alitalia;Boeing 767;280;FCO;ATH;2021/04/17 00:31:29;2021/04/17 02:31:29;2021/04/17 00:46:29;2021/04/17 04:46:29;Laura Wilson;Emily Moore;
0000000357;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2022/10/10 12:45:05;2022/10/10 14:00:05;2022/10/10 12:45:05;2022/10/10 15:15:05;David Johnson;Michael Johnson;We prioritize passenger comfort and safety.
0000000358;EasyJet;Airbus A320;180;LHR;Zurich;2023/01/05 05:25:27;2023/01/05 06:40:27;2023/01/05 05:25:27;2023/01/05 07:55:27;Sarah Jones;Jane Smith;
0000000359;Iberia;Airbus A321;220;MAD;LIS;2022/11/06 14:09:47;2022/11/06 15:24:47;2022/11/06 14:39:47;2022/11/06 17:09:47;Robert Johnson;John Moore;
0000000360;Iberia;Airbus A321;220;MAD;LIS;2021/05/10 10:47:05;2021/05/10 12:02:05;2021/05/10 10:47:05;2021/05/10 13:32:05;Robert Johnson;John Moore;
0000000361;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/01/10 05:31:52;2022/01/10 06:21:52;2022/01/10 05:31:52;2022/01/10 07:11:52;William Miller;John Wilson;
0000000362;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/05/07 13:45:36;2022/05/07 14:55:36;2022/05/07 13:50:36;2022/05/07 16:15:36;Sarah Davis;Michael Brown;We have a slight delay due to air traffic.
0000000363;Iberia;Airbus A321;220;MAD;LIs;2023/06/03 13:01:07;2023/06/03 14:16:07;2023/06/03 13:16:07;2023/06/03 16:31:07;Robert Johnson;John Moore;
0000000364;Jet2.com;Airbus A321;220;MAN;PRG;2022/12/18 15:51:32;2022/12/18 18:21:32;2022/12/18 16:06:32;2022/12/18 21:21:32;Robert Williams;Michael Miller;
0000000365;Jet2.com;Airbus A321;220;MAN;PRG;2021/04/06 08:20:09;2021/04/06 10:50:09;2021/04/06 08:20:09;2021/04/06 13:20:09;Robert Williams;Michael Miller;
0000000366;Alitalia;Boeing 767;280;FCO;ATH;2021/07/01 15:50:02;2021/07/01 17:50:02;2021/07/01 16:20:02;2021/07/01 20:50:02;Laura Wilson;Emily Moore;Thank you for choosing our airline for your journey.
0000000367;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/03/22 17:24:42;2022/03/22 18:14:42;2022/03/22 17:24:42;2022/03/22 19:49:42;William Miller;John Wilson;
0000000368;Aer Lingus;Airbus A320;180;DUB;LIS;2022/07/03 14:21:22;2022/07/03 17:21:22;2022/07/03 14:36:22;2022/07/03 20:56:22;Jane Jones;David Davis;
0000000369;Lufthansa;Boeing 777;300;FRA;MAD;2021/04/02 10:24:34;2021/04/02 12:54:34;2021/04/02 11:09:34;2021/04/02 16:29:34;Emily Davis;Laura Brown;
0000000370;Vueling Airlines;Airbus A319;160;BCN;FCO;2021/05/16 01:09:39;2021/05/16 02:59:39;2021/05/16 01:29:39;2021/05/16 05:24:39;Jane Moore;Emily Taylor;Ground staff is ready to assist with the aircraft's arrival.
0000000371;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2023/05/12 03:15:48;2023/05/12 04:15:48;2023/05/12 03:15:48;2023/05/12 06:00:48;Laura Moore;John Taylor;
0000000372;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2023/08/19 00:41:40;2023/08/19 01:41:40;2023/08/19 01:11:40;2023/08/19 03:56:40;Laura Moore;John Taylor;
0000000373;Turkish Airlines;Airbus A320;200;IST;PRG;2023/03/15 06:28:22;2023/03/15 08:58:22;2023/03/15 06:58:22;2023/03/15 11:58:22;Sarah Taylor;David Smith;
0000000374;Aeroflot;Airbus A320;250;SVO;TXL;2022/01/05 08:46:18;2022/01/05 12:01:18;2022/01/05 08:46:18;2022/01/05 15:16:18;William Davis;Emily Davis;
0000000375;Ryanair;Boeing 737;189;DUB;BCN;2021/02/01 15:14:37;2021/02/01 17:59:37;2021/02/01 15:14:37;2021/02/01 20:59:37;Laura Wilson;Sarah Davis;
0000000376;Iberia;Airbus A321;220;MAD;LIS;2022/12/16 00:41:47;2022/12/16 01:56:47;2022/12/16 01:11:47;2022/12/16 04:01:47;Robert Johnson;John Moore;
0000000377;Lufthansa;Boeing 777;300;FRA;MAD;2023/07/05 12:00:58;2023/07/05 14:30:58;2023/07/05 12:30:58;2023/07/05 17:50:58;Emily Davis;Laura Brown;
0000000378;British Airways;Boeing 737;150;LHR;AMS;2023/04/21 12:21:29;2023/04/21 13:31:29;2023/04/21 12:21:29;2023/04/21 14:41:29;Sarah Smith;Emily Johnson;
0000000379;Jet2.com;Airbus A321;220;MAN;PRG;2021/01/06 15:10:42;2021/01/06 17:40:42;2021/01/06 15:30:42;2021/01/06 20:30:42;Robert Williams;Michael Miller;Smooth takeoff, great weather today!
0000000380;Austrian Airlines;Airbus A321;220;VIE;MUC;2021/06/01 12:03:58;2021/06/01 12:53:58;2021/06/01 12:23:58;2021/06/01 14:03:58;William Miller;John Wilson;
0000000381;Turkish Airlines;Airbus A320;200;prAgUE;PRG;2022/10/20 17:32:45;2022/10/20 20:02:45;2022/10/20 17:32:45;2022/10/20 22:37:45;Sarah Taylor;David Smith;
0000000382;Air France;Airbus A321;220;CdG;FCO;2021/01/09 07:26:58;2021/01/09 09:11:58;2021/01/09 07:26:58;2021/01/09 11:16:58;John Williams;Robert Smith;
0000000383;Jet2.com;Airbus A321;220;MAN;PRG;2023/05/22 07:57:41;2023/05/22 10:27:41;2023/05/22 07:57:41;2023/05/22 12:57:41;Robert Williams;Michael Miller;
0000000384;Ryanair;Boeing 737;189;DUB;TXL;2023/08/09 13:08:30;2023/08/09 15:08:30;2023/08/09 13:13:30;2023/08/09 17:33:30;Jane Davis;Emily Davis;
0000000385;Air France;Airbus A321;220;CDG;FCO;2022/05/07 10:17:54;2022/05/07 12:02:54;2022/05/07 11:02:54;2022/05/07 14:37:54;John Williams;Robert Smith;
0000000386;Aeroflot;Airbus A320;250;SVO;TXL;2022/12/02 14:38:57;2022/12/02 17:53:57;2022/12/02 14:38:57;2022/12/02 21:08:57;William Davis;Emily Davis;
0000000387;British Airways;Boeing 737;150;LHR;AMS;2023/01/15 16:49:09;2023/01/15 17:59:09;2023/01/15 16:49:09;2023/01/15 19:09:09;Sarah Smith;Emily Johnson;Cargo loading and unloading is proceeding smoothly.
0000000388;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/03/08 03:21:14;2021/03/08 04:31:14;2021/03/08 03:21:14;2021/03/08 05:46:14;Sarah Davis;Michael Brown;
0000000389;Jet2.com;Airbus A321;220;MAN;PRG;2021/10/20 14:27:08;2021/10/20 16:57:08;2021/10/20 15:12:08;2021/10/20 20:42:08;Robert Williams;Michael Miller;
0000000390;Jet2.com;Airbus A321;220;MAN;PRG;2023/04/01 01:52:20;2023/04/01 04:22:20;2023/04/01 01:52:20;2023/04/01 06:57:20;Robert Williams;Michael Miller;
0000000391;Jet2.com;Airbus A321;220;MAN;PRG;2021/07/17 09:30:25;2021/07/17 12:00:25;2021/07/17 09:30:25;2021/07/17 14:30:25;Robert Williams;Michael Miller;Our company invests in the latest aviation technology.
0000000392;British Airways;Boeing 737;150;LHR;AMS;2023/06/18 11:07:57;2023/06/18 12:17:57;2023/06/18 11:37:57;2023/06/18 14:02:57;Sarah Smith;Emily Johnson;Pilots are in constant communication with air traffic control.
0000000393;Aeroflot;Airbus A320;250;SVO;TXL;2022/04/13 15:58:18;2022/04/13 19:13:18;2022/04/13 16:18:18;2022/04/13 22:48:18;William Davis;Emily Davis;
0000000394;British Airways;Boeing 737;150;LHR;AMS;2023/05/13 01:31:34;2023/05/13 02:41:34;2023/05/13 01:31:34;2023/05/13 04:11:34;Sarah Smith;Emily Johnson;
0000000395;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2021/04/13 00:33:09;2021/04/13 02:58:09;2021/04/13 00:33:09;2021/04/13 05:53:09;Emily Davis;John Smith;The cockpit crew is constantly monitoring systems.
0000000396;Iberia;Airbus A321;220;MAD;LIS;2021/08/15 06:20:19;2021/08/15 07:35:19;2021/08/15 06:20:19;2021/08/15 08:50:19;Robert Johnson;John Moore;
0000000397;TAP Air Portugal;Airbus A320;200;LIS;MAD;2021/05/21 01:16:01;2021/05/21 02:26:01;2021/05/21 01:21:01;2021/05/21 03:41:01;Jane Williams;Emily Miller;
0000000398;TAP Air Portugal;Airbus A320;200;LIS;MAD;2023/01/15 11:00:17;2023/01/15 12:10:17;2023/01/15 11:30:17;2023/01/15 14:10:17;Jane Williams;Emily Miller;
0000000399;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/06/21 12:40:42;2022/06/21 14:30:42;2022/06/21 12:40:42;2022/06/21 16:20:42;Jane Moore;Emily Taylor;
0000000400;Transavia;Airbus A320;180;AMS;NCE;2021/10/08 06:46:35;2021/10/08 09:06:35;2021/10/08 06:46:35;2021/10/08 11:41:35;Jane Jones;Jane Jones;
0000000401;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/03/15 17:43:56;2021/03/15 18:43:56;2021/03/15 17:43:56;2021/03/15 20:28:56;Laura Moore;John Taylor;
0000000402;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2021/06/02 14:45:20;2021/06/02 17:10:20;2021/06/02 14:45:20;2021/06/02 19:35:20;Emily Davis;John Smith;Our flight route is well-planned to avoid turbulence.
0000000403;Air France;Airbus A321;220;CDG;FCO;2022/06/20 01:13:07;2022/06/20 02:58:07;2022/06/20 01:18:07;2022/06/20 04:48:07;John Williams;Robert Smith;
0000000404;Iberia;Airbus A321;220;MAD;LIS;2021/06/12 12:03:54;2021/06/12 13:18:54;2021/06/12 12:03:54;2021/06/12 14:33:54;Robert Johnson;John Moore;
0000000405;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/07/04 06:36:05;2022/07/04 08:26:05;2022/07/04 06:36:05;2022/07/04 10:16:05;Jane Moore;Emily Taylor;We've reached our maximum altitude for this flight.
0000000406;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/01/21 09:21:48;2022/01/21 11:11:48;2022/01/21 09:21:48;2022/01/21 13:31:48;Jane Moore;Emily Taylor;The cockpit crew is constantly monitoring systems.
0000000407;TAP Air Portugal;Airbus A320;200;LIS;MAD;2021/03/19 12:30:59;2021/03/19 13:40:59;2021/03/19 12:30:59;2021/03/19 14:50:59;Jane Williams;Emily Miller;
0000000408;British Airways;Boeing 737;150;LHR;Ams;2021/04/05 10:53:16;2021/04/05 12:03:16;2021/04/05 10:53:16;2021/04/05 13:43:16;Sarah Smith;Emily Johnson;
0000000409;British Airways;Boeing 737;150;LHR;AMS;2021/01/03 16:26:53;2021/01/03 17:36:53;2021/01/03 17:11:53;2021/01/03 19:31:53;Sarah Smith;Emily Johnson;
0000000410;Aer Lingus;Airbus A320;180;DUB;LIS;2022/08/21 06:39:35;2022/08/21 09:39:35;2022/08/21 06:39:35;2022/08/21 13:09:35;Jane Jones;David Davis;The airport is busy, but we'll find a gate shortly.
0000000411;Aeroflot;Airbus A320;250;SVO;TXL;2021/09/01 05:19:55;2021/09/01 08:34:55;2021/09/01 05:19:55;2021/09/01 11:49:55;William Davis;Emily Davis;
0000000412;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/02/15 17:40:26;2022/02/15 19:10:26;2022/02/15 18:25:26;2022/02/15 22:10:26;Olivia Brown;Sarah Moore;Passengers are complying with safety regulations.
0000000413;Aer Lingus;Airbus A320;180;DUB;LIS;2022/02/01 07:41:26;2022/02/01 10:41:26;2022/02/01 08:01:26;2022/02/01 14:21:26;Jane Jones;David Davis;
